category,label,tp,fp,fn,precision,recall,f1
edge,CALLS,333010,63,740,0.9998,0.9978,0.9988
edge,CONTAINS_FILE,12175,0,0,1.0,1.0,1.0
edge,CONTAINS_FOLDER,50,0,0,1.0,1.0,1.0
edge,CONTAINS_MODULE,12150,0,0,1.0,1.0,1.0
edge,CONTAINS_PACKAGE,475,0,0,1.0,1.0,1.0
edge,DEFINES,77450,0,0,1.0,1.0,1.0
edge,DEFINES_METHOD,100450,0,0,1.0,1.0,1.0
edge,IMPORTS,82995,7,5,0.9999,0.9999,0.9999
edge,INHERITS,3925,0,0,1.0,1.0,1.0
edge,INSTANTIATES,25525,0,0,1.0,1.0,1.0
edge,OVERRIDES,1625,0,0,1.0,1.0,1.0
node,Class,23550,0,0,1.0,1.0,1.0
node,File,12175,0,0,1.0,1.0,1.0
node,Folder,50,0,0,1.0,1.0,1.0
node,Function,53900,0,0,1.0,1.0,1.0
node,Method,100450,0,0,1.0,1.0,1.0
node,Module,17125,0,0,1.0,1.0,1.0
node,Package,475,0,0,1.0,1.0,1.0
node,Project,25,0,0,1.0,1.0,1.0
